Categorie,Image_ID,Attaque_Complete,Type_Attaque,Intensite,Algorithme,Param_binbits,Distance,Similarite_Pct
faces,4,Occlusion_50,Occlusion,50,colorHash,6,6.0,92.85714285714286
faces,4,Occlusion_75,Occlusion,75,colorHash,2,3.0,89.28571428571429
faces,4,Occlusion_75,Occlusion,75,colorHash,3,4.0,90.47619047619048
faces,4,Occlusion_75,Occlusion,75,colorHash,4,7.0,87.5
faces,4,Occlusion_75,Occlusion,75,colorHash,5,6.0,91.42857142857143
faces,4,Occlusion_75,Occlusion,75,colorHash,6,11.0,86.9047619047619
faces,5,Original,Original,0,colorHash,2,0.0,100.0
faces,5,Original,Original,0,colorHash,3,0.0,100.0
faces,5,Original,Original,0,colorHash,4,0.0,100.0
faces,5,Original,Original,0,colorHash,5,0.0,100.0
faces,5,Original,Original,0,colorHash,6,0.0,100.0
faces,5,Compression_90,Compression,90,colorHash,2,0.0,100.0
faces,5,Compression_90,Compression,90,colorHash,3,0.0,100.0
faces,5,Compression_90,Compression,90,colorHash,4,0.0,100.0
faces,5,Compression_90,Compression,90,colorHash,5,0.0,100.0
faces,5,Compression_90,Compression,90,colorHash,6,0.0,100.0
faces,5,Compression_75,Compression,75,colorHash,2,0.0,100.0
faces,5,Compression_75,Compression,75,colorHash,3,0.0,100.0
faces,5,Compression_75,Compression,75,colorHash,4,0.0,100.0
faces,5,Compression_75,Compression,75,colorHash,5,0.0,100.0
faces,5,Compression_75,Compression,75,colorHash,6,0.0,100.0
faces,5,Compression_50,Compression,50,colorHash,2,0.0,100.0
faces,5,Compression_50,Compression,50,colorHash,3,0.0,100.0
faces,5,Compression_50,Compression,50,colorHash,4,0.0,100.0
faces,5,Compression_50,Compression,50,colorHash,5,0.0,100.0
faces,5,Compression_50,Compression,50,colorHash,6,2.0,97.61904761904762
faces,5,Compression_25,Compression,25,colorHash,2,0.0,100.0
faces,5,Compression_25,Compression,25,colorHash,3,0.0,100.0
faces,5,Compression_25,Compression,25,colorHash,4,0.0,100.0
faces,5,Compression_25,Compression,25,colorHash,5,0.0,100.0
faces,5,Compression_25,Compression,25,colorHash,6,2.0,97.61904761904762
faces,5,Compression_10,Compression,10,colorHash,2,0.0,100.0
faces,5,Compression_10,Compression,10,colorHash,3,1.0,97.61904761904762
faces,5,Compression_10,Compression,10,colorHash,4,1.0,98.21428571428571
faces,5,Compression_10,Compression,10,colorHash,5,2.0,97.14285714285714
faces,5,Compression_10,Compression,10,colorHash,6,5.0,94.04761904761905
faces,5,Resize_50,Resize,50,colorHash,2,0.0,100.0
faces,5,Resize_50,Resize,50,colorHash,3,0.0,100.0
faces,5,Resize_50,Resize,50,colorHash,4,0.0,100.0
faces,5,Resize_50,Resize,50,colorHash,5,0.0,100.0
faces,5,Resize_50,Resize,50,colorHash,6,1.0,98.80952380952381
faces,5,Resize_75,Resize,75,colorHash,2,0.0,100.0
faces,5,Resize_75,Resize,75,colorHash,3,0.0,100.0
faces,5,Resize_75,Resize,75,colorHash,4,0.0,100.0
faces,5,Resize_75,Resize,75,colorHash,5,0.0,100.0
faces,5,Resize_75,Resize,75,colorHash,6,0.0,100.0
faces,5,Resize_90,Resize,90,colorHash,2,0.0,100.0
faces,5,Resize_90,Resize,90,colorHash,3,0.0,100.0
faces,5,Resize_90,Resize,90,colorHash,4,1.0,98.21428571428571
faces,5,Resize_90,Resize,90,colorHash,5,2.0,97.14285714285714
faces,5,Resize_90,Resize,90,colorHash,6,3.0,96.42857142857143
faces,5,Downscale_50,Downscale,50,colorHash,2,0.0,100.0
faces,5,Downscale_50,Downscale,50,colorHash,3,0.0,100.0
faces,5,Downscale_50,Downscale,50,colorHash,4,0.0,100.0
faces,5,Downscale_50,Downscale,50,colorHash,5,0.0,100.0
faces,5,Downscale_50,Downscale,50,colorHash,6,0.0,100.0
faces,5,Downscale_75,Downscale,75,colorHash,2,0.0,100.0
faces,5,Downscale_75,Downscale,75,colorHash,3,0.0,100.0
faces,5,Downscale_75,Downscale,75,colorHash,4,1.0,98.21428571428571
faces,5,Downscale_75,Downscale,75,colorHash,5,2.0,97.14285714285714
faces,5,Downscale_75,Downscale,75,colorHash,6,3.0,96.42857142857143
faces,5,Downscale_90,Downscale,90,colorHash,2,0.0,100.0
faces,5,Downscale_90,Downscale,90,colorHash,3,0.0,100.0
faces,5,Downscale_90,Downscale,90,colorHash,4,1.0,98.21428571428571
faces,5,Downscale_90,Downscale,90,colorHash,5,2.0,97.14285714285714
faces,5,Downscale_90,Downscale,90,colorHash,6,3.0,96.42857142857143
faces,5,Occlusion_10,Occlusion,10,colorHash,2,3.0,89.28571428571429
faces,5,Occlusion_10,Occlusion,10,colorHash,3,4.0,90.47619047619048
faces,5,Occlusion_10,Occlusion,10,colorHash,4,3.0,94.64285714285714
faces,5,Occlusion_10,Occlusion,10,colorHash,5,5.0,92.85714285714286
faces,5,Occlusion_10,Occlusion,10,colorHash,6,4.0,95.23809523809524
faces,5,Occlusion_25,Occlusion,25,colorHash,2,3.0,89.28571428571429
faces,5,Occlusion_25,Occlusion,25,colorHash,3,3.0,92.85714285714286
faces,5,Occlusion_25,Occlusion,25,colorHash,4,4.0,92.85714285714286
faces,5,Occlusion_25,Occlusion,25,colorHash,5,3.0,95.71428571428571
faces,5,Occlusion_25,Occlusion,25,colorHash,6,3.0,96.42857142857143
faces,5,Occlusion_50,Occlusion,50,colorHash,2,3.0,89.28571428571429
faces,5,Occlusion_50,Occlusion,50,colorHash,3,4.0,90.47619047619048
faces,5,Occlusion_50,Occlusion,50,colorHash,4,7.0,87.5
faces,5,Occlusion_50,Occlusion,50,colorHash,5,5.0,92.85714285714286
faces,5,Occlusion_50,Occlusion,50,colorHash,6,4.0,95.23809523809524
faces,5,Occlusion_75,Occlusion,75,colorHash,2,3.0,89.28571428571429
faces,5,Occlusion_75,Occlusion,75,colorHash,3,6.0,85.71428571428572
faces,5,Occlusion_75,Occlusion,75,colorHash,4,6.0,89.28571428571429
faces,5,Occlusion_75,Occlusion,75,colorHash,5,5.0,92.85714285714286
faces,5,Occlusion_75,Occlusion,75,colorHash,6,6.0,92.85714285714286
faces,6,Original,Original,0,colorHash,2,0.0,100.0
faces,6,Original,Original,0,colorHash,3,0.0,100.0
faces,6,Original,Original,0,colorHash,4,0.0,100.0
faces,6,Original,Original,0,colorHash,5,0.0,100.0
faces,6,Original,Original,0,colorHash,6,0.0,100.0
faces,6,Compression_90,Compression,90,colorHash,2,0.0,100.0
faces,6,Compression_90,Compression,90,colorHash,3,1.0,97.61904761904762
faces,6,Compression_90,Compression,90,colorHash,4,1.0,98.21428571428571
faces,6,Compression_90,Compression,90,colorHash,5,1.0,98.57142857142857
faces,6,Compression_90,Compression,90,colorHash,6,2.0,97.61904761904762
faces,6,Compression_75,Compression,75,colorHash,2,0.0,100.0
faces,6,Compression_75,Compression,75,colorHash,3,1.0,97.61904761904762
faces,6,Compression_75,Compression,75,colorHash,4,1.0,98.21428571428571
faces,6,Compression_75,Compression,75,colorHash,5,1.0,98.57142857142857
faces,6,Compression_75,Compression,75,colorHash,6,2.0,97.61904761904762
faces,6,Compression_50,Compression,50,colorHash,2,0.0,100.0
faces,6,Compression_50,Compression,50,colorHash,3,1.0,97.61904761904762
faces,6,Compression_50,Compression,50,colorHash,4,1.0,98.21428571428571
faces,6,Compression_50,Compression,50,colorHash,5,1.0,98.57142857142857
faces,6,Compression_50,Compression,50,colorHash,6,2.0,97.61904761904762
faces,6,Compression_25,Compression,25,colorHash,2,0.0,100.0
faces,6,Compression_25,Compression,25,colorHash,3,1.0,97.61904761904762
faces,6,Compression_25,Compression,25,colorHash,4,1.0,98.21428571428571
faces,6,Compression_25,Compression,25,colorHash,5,1.0,98.57142857142857
faces,6,Compression_25,Compression,25,colorHash,6,3.0,96.42857142857143
faces,6,Compression_10,Compression,10,colorHash,2,0.0,100.0
faces,6,Compression_10,Compression,10,colorHash,3,1.0,97.61904761904762
faces,6,Compression_10,Compression,10,colorHash,4,1.0,98.21428571428571
faces,6,Compression_10,Compression,10,colorHash,5,2.0,97.14285714285714
faces,6,Compression_10,Compression,10,colorHash,6,2.0,97.61904761904762
faces,6,Resize_50,Resize,50,colorHash,2,0.0,100.0
faces,6,Resize_50,Resize,50,colorHash,3,0.0,100.0
faces,6,Resize_50,Resize,50,colorHash,4,0.0,100.0
faces,6,Resize_50,Resize,50,colorHash,5,0.0,100.0
faces,6,Resize_50,Resize,50,colorHash,6,0.0,100.0
faces,6,Resize_75,Resize,75,colorHash,2,0.0,100.0
faces,6,Resize_75,Resize,75,colorHash,3,0.0,100.0
faces,6,Resize_75,Resize,75,colorHash,4,0.0,100.0
faces,6,Resize_75,Resize,75,colorHash,5,0.0,100.0
faces,6,Resize_75,Resize,75,colorHash,6,0.0,100.0
faces,6,Resize_90,Resize,90,colorHash,2,0.0,100.0
faces,6,Resize_90,Resize,90,colorHash,3,1.0,97.61904761904762
faces,6,Resize_90,Resize,90,colorHash,4,1.0,98.21428571428571
faces,6,Resize_90,Resize,90,colorHash,5,2.0,97.14285714285714
faces,6,Resize_90,Resize,90,colorHash,6,2.0,97.61904761904762
faces,6,Downscale_50,Downscale,50,colorHash,2,0.0,100.0
faces,6,Downscale_50,Downscale,50,colorHash,3,1.0,97.61904761904762
faces,6,Downscale_50,Downscale,50,colorHash,4,1.0,98.21428571428571
faces,6,Downscale_50,Downscale,50,colorHash,5,1.0,98.57142857142857
faces,6,Downscale_50,Downscale,50,colorHash,6,2.0,97.61904761904762
faces,6,Downscale_75,Downscale,75,colorHash,2,0.0,100.0
faces,6,Downscale_75,Downscale,75,colorHash,3,1.0,97.61904761904762
faces,6,Downscale_75,Downscale,75,colorHash,4,1.0,98.21428571428571
faces,6,Downscale_75,Downscale,75,colorHash,5,1.0,98.57142857142857
faces,6,Downscale_75,Downscale,75,colorHash,6,2.0,97.61904761904762
faces,6,Downscale_90,Downscale,90,colorHash,2,0.0,100.0
faces,6,Downscale_90,Downscale,90,colorHash,3,1.0,97.61904761904762
faces,6,Downscale_90,Downscale,90,colorHash,4,1.0,98.21428571428571
faces,6,Downscale_90,Downscale,90,colorHash,5,1.0,98.57142857142857
faces,6,Downscale_90,Downscale,90,colorHash,6,1.0,98.80952380952381
faces,6,Occlusion_10,Occlusion,10,colorHash,2,1.0,96.42857142857143
faces,6,Occlusion_10,Occlusion,10,colorHash,3,2.0,95.23809523809524
faces,6,Occlusion_10,Occlusion,10,colorHash,4,2.0,96.42857142857143
faces,6,Occlusion_10,Occlusion,10,colorHash,5,4.0,94.28571428571429
faces,6,Occlusion_10,Occlusion,10,colorHash,6,6.0,92.85714285714286
faces,6,Occlusion_25,Occlusion,25,colorHash,2,2.0,92.85714285714286
faces,6,Occlusion_25,Occlusion,25,colorHash,3,2.0,95.23809523809524
faces,6,Occlusion_25,Occlusion,25,colorHash,4,7.0,87.5
faces,6,Occlusion_25,Occlusion,25,colorHash,5,6.0,91.42857142857143
faces,6,Occlusion_25,Occlusion,25,colorHash,6,5.0,94.04761904761905
faces,6,Occlusion_50,Occlusion,50,colorHash,2,2.0,92.85714285714286
faces,6,Occlusion_50,Occlusion,50,colorHash,3,5.0,88.0952380952381
faces,6,Occlusion_50,Occlusion,50,colorHash,4,5.0,91.07142857142857
faces,6,Occlusion_50,Occlusion,50,colorHash,5,11.0,84.28571428571429
faces,6,Occlusion_50,Occlusion,50,colorHash,6,13.0,84.52380952380952
faces,6,Occlusion_75,Occlusion,75,colorHash,2,4.0,85.71428571428572
faces,6,Occlusion_75,Occlusion,75,colorHash,3,6.0,85.71428571428572
faces,6,Occlusion_75,Occlusion,75,colorHash,4,8.0,85.71428571428572
faces,6,Occlusion_75,Occlusion,75,colorHash,5,11.0,84.28571428571429
faces,6,Occlusion_75,Occlusion,75,colorHash,6,12.0,85.71428571428572
faces,7,Original,Original,0,colorHash,2,0.0,100.0
faces,7,Original,Original,0,colorHash,3,0.0,100.0
faces,7,Original,Original,0,colorHash,4,0.0,100.0
faces,7,Original,Original,0,colorHash,5,0.0,100.0
faces,7,Original,Original,0,colorHash,6,0.0,100.0
faces,7,Compression_90,Compression,90,colorHash,2,0.0,100.0
faces,7,Compression_90,Compression,90,colorHash,3,0.0,100.0
faces,7,Compression_90,Compression,90,colorHash,4,0.0,100.0
faces,7,Compression_90,Compression,90,colorHash,5,0.0,100.0
faces,7,Compression_90,Compression,90,colorHash,6,0.0,100.0
faces,7,Compression_75,Compression,75,colorHash,2,0.0,100.0
faces,7,Compression_75,Compression,75,colorHash,3,0.0,100.0
faces,7,Compression_75,Compression,75,colorHash,4,0.0,100.0
faces,7,Compression_75,Compression,75,colorHash,5,0.0,100.0
faces,7,Compression_75,Compression,75,colorHash,6,0.0,100.0
faces,7,Compression_50,Compression,50,colorHash,2,0.0,100.0
faces,7,Compression_50,Compression,50,colorHash,3,0.0,100.0
faces,7,Compression_50,Compression,50,colorHash,4,1.0,98.21428571428571
faces,7,Compression_50,Compression,50,colorHash,5,2.0,97.14285714285714
faces,7,Compression_50,Compression,50,colorHash,6,3.0,96.42857142857143
faces,7,Compression_25,Compression,25,colorHash,2,0.0,100.0
faces,7,Compression_25,Compression,25,colorHash,3,0.0,100.0
faces,7,Compression_25,Compression,25,colorHash,4,1.0,98.21428571428571
faces,7,Compression_25,Compression,25,colorHash,5,3.0,95.71428571428571
faces,7,Compression_25,Compression,25,colorHash,6,4.0,95.23809523809524
faces,7,Compression_10,Compression,10,colorHash,2,0.0,100.0
faces,7,Compression_10,Compression,10,colorHash,3,0.0,100.0
faces,7,Compression_10,Compression,10,colorHash,4,2.0,96.42857142857143
faces,7,Compression_10,Compression,10,colorHash,5,4.0,94.28571428571429
faces,7,Compression_10,Compression,10,colorHash,6,5.0,94.04761904761905
faces,7,Resize_50,Resize,50,colorHash,2,0.0,100.0
faces,7,Resize_50,Resize,50,colorHash,3,0.0,100.0
faces,7,Resize_50,Resize,50,colorHash,4,0.0,100.0
faces,7,Resize_50,Resize,50,colorHash,5,0.0,100.0
faces,7,Resize_50,Resize,50,colorHash,6,0.0,100.0
faces,7,Resize_75,Resize,75,colorHash,2,0.0,100.0
faces,7,Resize_75,Resize,75,colorHash,3,0.0,100.0
faces,7,Resize_75,Resize,75,colorHash,4,0.0,100.0
faces,7,Resize_75,Resize,75,colorHash,5,0.0,100.0
faces,7,Resize_75,Resize,75,colorHash,6,0.0,100.0
faces,7,Resize_90,Resize,90,colorHash,2,0.0,100.0
faces,7,Resize_90,Resize,90,colorHash,3,0.0,100.0
faces,7,Resize_90,Resize,90,colorHash,4,0.0,100.0
faces,7,Resize_90,Resize,90,colorHash,5,1.0,98.57142857142857
faces,7,Resize_90,Resize,90,colorHash,6,3.0,96.42857142857143
faces,7,Downscale_50,Downscale,50,colorHash,2,0.0,100.0
faces,7,Downscale_50,Downscale,50,colorHash,3,0.0,100.0
faces,7,Downscale_50,Downscale,50,colorHash,4,0.0,100.0
faces,7,Downscale_50,Downscale,50,colorHash,5,0.0,100.0
faces,7,Downscale_50,Downscale,50,colorHash,6,1.0,98.80952380952381
faces,7,Downscale_75,Downscale,75,colorHash,2,0.0,100.0
faces,7,Downscale_75,Downscale,75,colorHash,3,0.0,100.0
faces,7,Downscale_75,Downscale,75,colorHash,4,0.0,100.0
faces,7,Downscale_75,Downscale,75,colorHash,5,1.0,98.57142857142857
faces,7,Downscale_75,Downscale,75,colorHash,6,3.0,96.42857142857143
faces,7,Downscale_90,Downscale,90,colorHash,2,0.0,100.0
faces,7,Downscale_90,Downscale,90,colorHash,3,0.0,100.0
faces,7,Downscale_90,Downscale,90,colorHash,4,0.0,100.0
faces,7,Downscale_90,Downscale,90,colorHash,5,2.0,97.14285714285714
faces,7,Downscale_90,Downscale,90,colorHash,6,4.0,95.23809523809524
faces,7,Occlusion_10,Occlusion,10,colorHash,2,2.0,92.85714285714286
faces,7,Occlusion_10,Occlusion,10,colorHash,3,2.0,95.23809523809524
faces,7,Occlusion_10,Occlusion,10,colorHash,4,3.0,94.64285714285714
faces,7,Occlusion_10,Occlusion,10,colorHash,5,5.0,92.85714285714286
faces,7,Occlusion_10,Occlusion,10,colorHash,6,9.0,89.28571428571429
faces,7,Occlusion_25,Occlusion,25,colorHash,2,2.0,92.85714285714286
faces,7,Occlusion_25,Occlusion,25,colorHash,3,4.0,90.47619047619048
faces,7,Occlusion_25,Occlusion,25,colorHash,4,8.0,85.71428571428572
faces,7,Occlusion_25,Occlusion,25,colorHash,5,4.0,94.28571428571429
faces,7,Occlusion_25,Occlusion,25,colorHash,6,7.0,91.66666666666667
faces,7,Occlusion_50,Occlusion,50,colorHash,2,3.0,89.28571428571429
faces,7,Occlusion_50,Occlusion,50,colorHash,3,6.0,85.71428571428572
faces,7,Occlusion_50,Occlusion,50,colorHash,4,8.0,85.71428571428572
faces,7,Occlusion_50,Occlusion,50,colorHash,5,10.0,85.71428571428572
faces,7,Occlusion_50,Occlusion,50,colorHash,6,13.0,84.52380952380952
faces,7,Occlusion_75,Occlusion,75,colorHash,2,3.0,89.28571428571429
faces,7,Occlusion_75,Occlusion,75,colorHash,3,5.0,88.0952380952381
faces,7,Occlusion_75,Occlusion,75,colorHash,4,8.0,85.71428571428572
faces,7,Occlusion_75,Occlusion,75,colorHash,5,10.0,85.71428571428572
faces,7,Occlusion_75,Occlusion,75,colorHash,6,12.0,85.71428571428572
faces,8,Original,Original,0,colorHash,2,0.0,100.0
faces,8,Original,Original,0,colorHash,3,0.0,100.0
faces,8,Original,Original,0,colorHash,4,0.0,100.0
faces,8,Original,Original,0,colorHash,5,0.0,100.0
faces,8,Original,Original,0,colorHash,6,0.0,100.0
faces,8,Compression_90,Compression,90,colorHash,2,0.0,100.0
faces,8,Compression_90,Compression,90,colorHash,3,0.0,100.0
faces,8,Compression_90,Compression,90,colorHash,4,0.0,100.0
faces,8,Compression_90,Compression,90,colorHash,5,0.0,100.0
faces,8,Compression_90,Compression,90,colorHash,6,0.0,100.0
faces,8,Compression_75,Compression,75,colorHash,2,0.0,100.0
faces,8,Compression_75,Compression,75,colorHash,3,0.0,100.0
faces,8,Compression_75,Compression,75,colorHash,4,0.0,100.0
faces,8,Compression_75,Compression,75,colorHash,5,0.0,100.0
faces,8,Compression_75,Compression,75,colorHash,6,0.0,100.0
faces,8,Compression_50,Compression,50,colorHash,2,0.0,100.0
faces,8,Compression_50,Compression,50,colorHash,3,0.0,100.0
faces,8,Compression_50,Compression,50,colorHash,4,0.0,100.0
faces,8,Compression_50,Compression,50,colorHash,5,0.0,100.0
faces,8,Compression_50,Compression,50,colorHash,6,0.0,100.0
faces,8,Compression_25,Compression,25,colorHash,2,0.0,100.0
faces,8,Compression_25,Compression,25,colorHash,3,0.0,100.0
faces,8,Compression_25,Compression,25,colorHash,4,0.0,100.0
faces,8,Compression_25,Compression,25,colorHash,5,0.0,100.0
faces,8,Compression_25,Compression,25,colorHash,6,0.0,100.0
faces,8,Compression_10,Compression,10,colorHash,2,0.0,100.0
faces,8,Compression_10,Compression,10,colorHash,3,0.0,100.0
faces,8,Compression_10,Compression,10,colorHash,4,0.0,100.0
faces,8,Compression_10,Compression,10,colorHash,5,2.0,97.14285714285714
faces,8,Compression_10,Compression,10,colorHash,6,3.0,96.42857142857143
faces,8,Resize_50,Resize,50,colorHash,2,0.0,100.0
faces,8,Resize_50,Resize,50,colorHash,3,0.0,100.0
faces,8,Resize_50,Resize,50,colorHash,4,0.0,100.0
faces,8,Resize_50,Resize,50,colorHash,5,0.0,100.0
faces,8,Resize_50,Resize,50,colorHash,6,0.0,100.0
faces,8,Resize_75,Resize,75,colorHash,2,0.0,100.0
faces,8,Resize_75,Resize,75,colorHash,3,0.0,100.0
faces,8,Resize_75,Resize,75,colorHash,4,0.0,100.0
faces,8,Resize_75,Resize,75,colorHash,5,0.0,100.0
faces,8,Resize_75,Resize,75,colorHash,6,0.0,100.0
faces,8,Resize_90,Resize,90,colorHash,2,0.0,100.0
faces,8,Resize_90,Resize,90,colorHash,3,0.0,100.0
faces,8,Resize_90,Resize,90,colorHash,4,0.0,100.0
faces,8,Resize_90,Resize,90,colorHash,5,0.0,100.0
faces,8,Resize_90,Resize,90,colorHash,6,2.0,97.61904761904762
faces,8,Downscale_50,Downscale,50,colorHash,2,0.0,100.0
faces,8,Downscale_50,Downscale,50,colorHash,3,0.0,100.0
faces,8,Downscale_50,Downscale,50,colorHash,4,0.0,100.0
faces,8,Downscale_50,Downscale,50,colorHash,5,0.0,100.0
faces,8,Downscale_50,Downscale,50,colorHash,6,0.0,100.0
faces,8,Downscale_75,Downscale,75,colorHash,2,0.0,100.0
faces,8,Downscale_75,Downscale,75,colorHash,3,0.0,100.0
faces,8,Downscale_75,Downscale,75,colorHash,4,0.0,100.0
faces,8,Downscale_75,Downscale,75,colorHash,5,0.0,100.0
faces,8,Downscale_75,Downscale,75,colorHash,6,0.0,100.0
faces,8,Downscale_90,Downscale,90,colorHash,2,0.0,100.0
faces,8,Downscale_90,Downscale,90,colorHash,3,0.0,100.0
faces,8,Downscale_90,Downscale,90,colorHash,4,0.0,100.0
faces,8,Downscale_90,Downscale,90,colorHash,5,0.0,100.0
faces,8,Downscale_90,Downscale,90,colorHash,6,2.0,97.61904761904762
faces,8,Occlusion_10,Occlusion,10,colorHash,2,0.0,100.0
faces,8,Occlusion_10,Occlusion,10,colorHash,3,0.0,100.0
faces,8,Occlusion_10,Occlusion,10,colorHash,4,1.0,98.21428571428571
faces,8,Occlusion_10,Occlusion,10,colorHash,5,2.0,97.14285714285714
faces,8,Occlusion_10,Occlusion,10,colorHash,6,3.0,96.42857142857143
faces,8,Occlusion_25,Occlusion,25,colorHash,2,1.0,96.42857142857143
faces,8,Occlusion_25,Occlusion,25,colorHash,3,1.0,97.61904761904762
faces,8,Occlusion_25,Occlusion,25,colorHash,4,3.0,94.64285714285714
faces,8,Occlusion_25,Occlusion,25,colorHash,5,3.0,95.71428571428571
faces,8,Occlusion_25,Occlusion,25,colorHash,6,4.0,95.23809523809524
faces,8,Occlusion_50,Occlusion,50,colorHash,2,3.0,89.28571428571429
faces,8,Occlusion_50,Occlusion,50,colorHash,3,4.0,90.47619047619048
faces,8,Occlusion_50,Occlusion,50,colorHash,4,5.0,91.07142857142857
faces,8,Occlusion_50,Occlusion,50,colorHash,5,5.0,92.85714285714286
faces,8,Occlusion_50,Occlusion,50,colorHash,6,6.0,92.85714285714286
faces,8,Occlusion_75,Occlusion,75,colorHash,2,3.0,89.28571428571429
faces,8,Occlusion_75,Occlusion,75,colorHash,3,5.0,88.0952380952381
faces,8,Occlusion_75,Occlusion,75,colorHash,4,6.0,89.28571428571429
faces,8,Occlusion_75,Occlusion,75,colorHash,5,6.0,91.42857142857143
faces,8,Occlusion_75,Occlusion,75,colorHash,6,6.0,92.85714285714286
faces,9,Original,Original,0,colorHash,2,0.0,100.0
faces,9,Original,Original,0,colorHash,3,0.0,100.0
faces,9,Original,Original,0,colorHash,4,0.0,100.0
faces,9,Original,Original,0,colorHash,5,0.0,100.0
faces,9,Original,Original,0,colorHash,6,0.0,100.0
faces,9,Compression_90,Compression,90,colorHash,2,0.0,100.0
faces,9,Compression_90,Compression,90,colorHash,3,0.0,100.0
faces,9,Compression_90,Compression,90,colorHash,4,0.0,100.0
faces,9,Compression_90,Compression,90,colorHash,5,0.0,100.0
faces,9,Compression_90,Compression,90,colorHash,6,0.0,100.0
faces,9,Compression_75,Compression,75,colorHash,2,0.0,100.0
faces,9,Compression_75,Compression,75,colorHash,3,0.0,100.0
faces,9,Compression_75,Compression,75,colorHash,4,0.0,100.0
faces,9,Compression_75,Compression,75,colorHash,5,0.0,100.0
faces,9,Compression_75,Compression,75,colorHash,6,0.0,100.0
faces,9,Compression_50,Compression,50,colorHash,2,1.0,96.42857142857143
faces,9,Compression_50,Compression,50,colorHash,3,2.0,95.23809523809524
